Name,Content
"When we talk to someone significantly older than ourselves, we fall into cognitive distortion.","When we talk to someone significantly older than ourselves, we fall into a cognitive distortion. We automatically think that we are talking to the past, when in fact we are talking to the future, but few are able to realize and use this. Many things change, but the most important things in our life probably remain the same. When you talk to your parents or grandparents, try to imagine that you are talking to someone from the distant future. You may be able to learn something very important, even though they don't know how to use gadgets."
The greatest value is time. With a loved one...,"If people come to you in various situations with the question: ""What should I do?"", and you sincerely want to help them, then first ask: ""What do you want to achieve?"". There can be many ways to a goal. And if you understand the goal, resources, and context, you can suggest the most relevant method. However, the greatest benefit of this question is that it puts 99% of people in a cognitive impasse, forcing them to ask themselves: ""What do I really want?"" ""What do I want?""
These questions lead to the following questions: ""What is the situation? Where am I now? What is important to me?""
If a person at least tries to formulate answers, there is a high probability that he will understand how to achieve his goal. The problem is that for most people, it is easier to do simple and understandable things, despite the fact that such actions can be absolutely MEANINGLESS and INEFFECTIVE. We prefer to do what is CLEAR, FAMILIAR, and CONVENIENT, instead of doing what LEADS TO RESULTS. And then, at the end of life, at the coffin board, we ask ourselves: ""How did it happen that I WORKED HONESTLY ALL MY LIFE, but there is no use?""

If you realize that the greatest value is time, then before you spend it, ask yourself: ""Will this lead to what my soul truly strives for?"""
If you want to sell - don't be afraid to make huge promises for several reasons..txt,"1. People WANT to believe in BIG promises, and they don't pay attention to small ones. 2. When you create an offer, think about those who WANT to get EXACTLY such an offer, not about fools who will consider you a fraud. 3. Understand, 99% of all people on the planet in ANY case and ALWAYS will consider you a fraud for the simple reason that you can do what they don't have the balls for. They are insignificant and spitting at you is the only way they can alleviate their miserable lives. So send them to hell and don't waste your time on them. 4. Always raise the stakes and don't allow compromises. Are you scared yourself? But this is exactly how you can learn and grow. Are you promising people something that you don't have and don't know how and where to get? Really? This obligation makes your eyes pop, not just out of your pants, but out of your skin. You start asking the right questions. Your fearful personality dies in agony, and in its place a new personality is born, and it's not a human. It's a damn predator! And everything around is its prey, and the world is its hunting ground. Who do you want to be? A predator or the prey of other predators? However, you can also become a robot))). Some say that it hurts less when a predator is eating you."
Two features of a goal worth spending time on..txt,"It is well known that in order to develop, one must have a goal, but there can be many types of goals. How do you determine if your goal is the one worth spending your energy and nerves on? Your goal should evoke two emotions in you...

1. Overwhelming delight and promise. There should be a willingness to sacrifice a lot for the sake of attaining and achieving the goal. This is clear, it is the basis of motivation,
and the second feeling is...
2. Deadly terror and complete certainty - in the IMPOSSIBILITY of achieving it. Important posts that are similar in meaning, which you should definitely read, because these ideas will seriously change your life:"
"In your opinion, what is the most effective way to transform a personality?.txt","First, get rid of the nonsense about work-life balance. It's a myth. It doesn't exist, except in cases where we reach a level where we can manage our time without losing income. Balance is a luxury for the rich, and the poor and slaves have no balance and cannot have it. The best way to transform a personality is through a task that you cannot solve, precisely because your personality does not allow you to do it. For this, you need to focus as much as possible and start solving this task. Any boxing, oratory art is much worse than business. You have a problem in business, so solve it. Set a goal for yourself to double sales in a month, and ... focus hard on it. Come up with some commitment to yourself. Don't eat, don't go to the movies, don't play, don't watch movies. Seriously, deprive yourself of something. All life is for the sake of achieving a goal. Only then will something start to move. There is no other way. Our personality is changed by the attempt to jump above our head, this is going beyond the limits of the old personality, the death of the old personality and the creation of a new one."
When you're at a dead end and don't know what to do? The simplest method..txt,"Formulate key questions in the format of HOW, WHAT? What do you want? Formulation of the task. 1. Write it down and hang it in a visible place. 2. Calm down. If you are anxious - NOTHING will happen. Don't try to find a solution immediately. Don't panic. 3. Every day for 5-10 minutes once a day, ask yourself THESE questions and glance at the wall where your questions are hanging. This sends the problem from the conscious to the subconscious. You continue to work, and the subconscious is working. 4. The main thing is to focus every day. If new questions arise - add them to the list. 5. In a few days, ideas will start to emerge. Then gradually you will start noticing some solutions. 6. Then you will start meeting the right people. 7. Don't lose focus, write down ideas and new questions. The first ideas will come in 2-5 days, then the flow will increase. Within 1-2 months, or maybe earlier, a solution will be found that will allow you to take a step. 8. Repeat the iteration. Step by step, you will solve all the problems. Some are faster, some are slower."
Argument Against Meaning..txt,"Empires could be built on the basis of any false meanings, for people follow not the meaning, but the myth and the hero, the legend, the promise. Ignorance is the basis of governance - in the past and now. Nothing has changed. If it were otherwise, empires would not have crumbled to dust, for their foundation was not built on truth, but on the myth of truth. That's why, if someone says they are right because they are great, it can in no way be a basis for trust. We, like nations, are just streams in different phases. To say that the crest of the wave will stand forever just because it is great, is to show ignorance. Human authority, the presence of power, positions, states speak more about the effectiveness of politics and the management of mass relations, about the social position, but not about the righteousness."
Why should we desire more and what prevents us from setting ambitious goals?.txt,"Why should we aspire for more and what prevents us from setting ambitious goals? The question, you see, is not about greed, but about common sense. This can be called the wind of reality. The wind of reality constantly blows in our face in the form of internal doubts, procrastinations, unpleasant surprises, endless delays, and unpleasant obstacles. This means that we always try to accomplish less than we planned. That's why we need to set high enough goals. The second important reason why we should desire more is that sometimes the value of high goals is not in the goals themselves, but in the changes that occur in our personality when we achieve these goals. High ambitious goals immediately highlight at least two points:

- the fact that we have no idea how to do it, and...
- our natural insecurity and weakness. Prolonging our ignorance forces us to learn intensively. And the higher the goals we set, the more we force ourselves to think differently. High goals are achieved not because we strain ourselves, but because we are capable of moving DIFFERENTLY."
What is the difference between a leader and a businessman?.txt,"The difference between a leader and a businessman is that the latter is looking for where to invest resources, while the leader creates meanings that attract these resources. Beginning entrepreneurs spend a lot of time looking for investments, while it is more effective to invest time in creation - money will follow, because it has nowhere else to go. 
The popularity of investing in crypto is explained by the severe shortage of truly meaningful projects. 
A weak investor looks for exits, a strong one for development."
"What does the Player look at, and what does the Character look at when analyzing the text?.txt","The player looks at the text, paying attention to its content, connections. The character immerses himself in the plot of the text and becomes its slave. The player looks at how the text affects a person, and explores the text and plot as a tool, like a samurai who admires his sword. The player does not allow the plot to capture him, although he is able to distinguish a predatory plot from a plot - a cow, which peacefully grazes in the meadow. Every time you feel that a text changes your emotions, provokes reactions, you are dealing with a predatory text. Don't allow yourself to get involved, it's ALWAYS A GAME, it's ALWAYS control. Explore the triggers. ""Docked - no!"". I constantly create predatory texts, virus texts. This is how I learn to recognize predators around me, and successfully compete for the attention of Characters, which I also wish for you. Text is a code. ... In the beginning was the word. There is no meaning, there are only reasonable plots, which are also Ideas, which are also Angels, Demons, in short... you understand. You don't have to believe in this. You don't have to believe at all. It's forbidden. Allow it! Observe, and you will start to notice, and then see. We do not see most of the world, because we see not with our eyes, but with our mind, and the mind is just a labyrinth of corridors and closed doors."
People are the only thing worth paying attention to..txt,"1. Our life is a chain of relationships. Our position in society is the result of relationships. Nothing happens in our life, no significant change in our position, without contact with some person. Therefore, the path in life is a chain of communicative transactions, and the interval between them is the understanding of past contacts and preparation for future contacts. 2. Therefore, it is important to focus correctly in life - concentrate on what drives you, not on what is just preparation. This is a fundamental point of the methodology. 3. We live in a world where there are only people. And everything else that surrounds them is nothing. Even money without people is just a pack of paper. Money and everything else only has value because people give it value, proportional to the potential to generate new value. 4. Without people, there are no values, no financial prosperity, no social status. Therefore, advancement towards success in social and financial terms is always advancement within the human hierarchy, advancement through a chain of contacts. 5. As a result, you either increase your social capitalization or decrease it. 6. Everything depends only on what and how you communicate with people. 7. Success is a sign of understanding and implementing this doctrine. 8. The one who knows how to establish contacts with people, who can influence people, achieve the reactions and actions he needs from them - will succeed."
What does growth look like?.txt,"Initially, a person is uneducated, he does not understand either the world or the necessary skills. He only has access to physical labor, so he will always be in the caste of a slave. But if he starts to learn, he gradually transitions into the Role of a Specialist. This gives him a different perspective. He begins to see different levels of existence, he begins to realize goals and tasks, he can purposefully improve himself to rise. Therefore, he is growing professionally, and it is best to do this by teaching others, then learning to sell, including himself. That is, a person moves through the roles of a specialist, a teacher (authority) to the role of a salesman. This role is key, as this is where a fork appears. A person can go the path of professional development and enter the free market, that is, it is here that he gets the opportunity to move into the caste of professionals or merchants. But he lacks the knowledge to start building wealth. He sells, earns, and spends. He doesn't know how to accumulate and build. Therefore, he can only enter the higher caste of businessmen by acquiring new knowledge and skills, essentially becoming a manager. Then he can enter the caste of Businessmen if he manages to build a social and financial status. At this stage, the businessman-manager reaches the limits of organic growth and further business development proceeds through financial investment. And having created a financial-industrial empire, a person realizes that he is connected with power and society, so he begins to make his way into politics."
