Name,Content
"Когда мы разговариваем с кем-то значительно старше себя, мы впадаем в когнитивное искажение..txt","Когда мы разговариваем с кем-то значительно старше себя, мы впадаем в когнитивное искажение. Автоматически мы думаем, что разговариваем с прошлым, хотя в действительности мы разговариваем с будущим, только мало кто способен осознать и использовать это. Много вещей меняется, но неизменными остаются наверное самые важные вещи в нашей жизни.
Когда будете общаться с вашими родителями или бабушками/дедушками - попробуйте представить, что общаетесь с кем-то из далекого будущего.
Возможно вы сможете научится чему-то очень важному, даже несмотря на то, что они не умеют пользоваться гаджетами."
Самая большая ценность - время. С любимым человеком..txt,"Если к вам обращаются люди в разных ситуациях с вопросом: ""Что делать?"", и вы искренне хотите им помочь, то в сначала спросите : ""А что вы хотите получить в результате?"". К цели может вести много путей. И если вы понимаете цель, ресурсы и контекст, то можете посоветовать наиболее релевантный способ. Однако, самая большая польза этого вопроса в том, что 99% людей он ставит в когнитивный тупик, заставляя их спрашивать самих себя: «А чего же мне надо? А чего я хочу?»
Эти вопросы ведут к следующим вопросам: «В чем ситуация? Где я сейчас? Что для меня важно?»
Если человек хотя бы приблизительно постарается сформулировать ответы, то есть большая вероятность, что он и сам поймёт - как достигнуть своей цели. Проблема в том, что для большинства людей делать простые и понятные вещи легче, несмотря на то, что такие действия могут быть абсолютно БЕССМЫСЛЕННЫМИ и НЕЭФФЕКТИВНЫМИ.

Мы предпочитаем делать то, что ПОНЯТНО, ЗНАКОМО и УДОБНО, вместо того, чтобы делать то, что ВЕДЕТ К РЕЗУЛЬТАТУ. А потом, в конце жизни, у гробовой доски мы спрашиваем себя: «А как получилось так, что я ВСЮ ЖИЗНЬ ЧЕСТНО РАБОТАЛ, а толку нет?»

Если Вы осознаете, что самая большая ценность - это время, то перед тем, как его потратить спросите себя: «А приведет ли это к тому, к чему действительно стремиться моя душа?»"
Если вы хотите продавать - не бойтесь давать огромные обещания по нескольким причинам..txt,"1. Люди ХОТЯТ верить БОЛЬШИМ обещаниям, а на маленькие обещания не обращают внимания.

2. Когда создаете офер, думайте о тех, кто ХОЧЕТ получить ИМЕННО такой офер, а не о придурках, которые будут считать вас мошенником.

3. Поймите, 99% всех людей не планете в ЛЮБОМ случае и ВСЕГДА будут считать вам мошенником по той простой причине, что вы можете делать то, для чего у них нет достаточно крепких яиц.  Они - ничтожны и плевать в вас - единственный доступный для них способ облегчить свою унылую жизнь. Поэтому пошлите их в задницу, и не тратьте на них время.

4. Всегда поднимайте ставки, и не допускайте компромиссов. Вам самому страшно? Но именно так можно учиться и расти. Вы обещаете людям то, чего и у вас нет и вы не знаете как и где достать? Да неужели? Это обязательство заставляет лопаться ваши глаза, выпрыгивать не только из штанов, а из своей кожи. Вы начинаете задавать правильные вопросы. Ваша боязливая личность умирает в корчах, и на ее месте рождается новая личность, и это не человек. Это гребанный хищник! А все вокруг - его добыча, а мир - его охотничьи угодья. 

Кем вы хотите быть? Хищником или добычей других хищников? Впрочем, можно еще стать роботом))). Некоторые говорят, что так меньше чувствуешь боль, когда хищник жрет тебя."
Два признака цели  на которую стоит тратить время..txt,"Общеизвестно, что для развития нужно иметь цель, но видов целей может быть очень много. Как определить, что Ваша цель именно та, которая стоит того, чтобы тратить на неё силы и нервы?

Цель должна вызывать у Вас две эмоции...

1. Все затопляющий восторг и обещание. Внутри должна быть готовность пожертвовать многим ради обретения и достижения цели. С этим понятно, это основа мотивации,
а вот второе - ощущение...
2. Смертельный ужас и полная уверенность - в НЕВОЗМОЖНОСТИ ее достижения.
Близкие по смыслу важные посты, которые Вам обязательно стоит прочитать, потому что эти идеи помогут серьезно изменить Вашу жизнь:"
Какой по Вашему мнению самый эффективный способ трансформации личности?.txt,"Сперва выбросьте из головы дурь про баланс жизни и работы. Это миф. Не бывает этого, исключая случай, когда мы достигаем такого уровня, что можем управлять своим временем без потери дохода. Баланс это роскошь для богатых, а у нищих и рабов никакого баланса нет и быть не может.

Личность лучше всего трансформирует какая-то задача, которую вы не можете решить, именно потому что ваша личность не позволяет это сделать. Для этого надо максимально сфокусироваться и начать решать эту задачу. Любой бокс, ораторское искусство гораздо хуже бизнеса.

У вас проблема в бизнесе, вот и решайте ее. Поставьте себе цель увеличить продажи в 2 раза в за месяц, и  ... жестко сфокусируйтесь на ней. Какой-то комитмент себе придумайте. Не есть, не ходить в кино, не играть, не смотреть кино. Вот без шуток, лишите себя чего-то. Вся жизнь ради достижения цели. Только тогда что-то начнет сдвигаться. Иного пути нет. Нашу личность меняет попытка прыгнуть выше головы, это и есть выход за пределы старой личности, смерть старой личности и создание новой."
"Когда тупик и не знаешь , что делать ? Простейший метод..txt","Сформулируйте ключевые вопросы в формате КАК, ЧТО? Что вы хотите? Формулировку задачи.

1. Запишите и повесьте на видном месте.
2. Успокойтесь. Если Вы тревожны - НИЧЕГО не будет. Не пытайтесь найти решение немедленно. Don't panic.
3. Каждый день по 5-10 минут раз в день задавайте себе ЭТИ вопросы и бросайте взгляд на стену, где висят ваши вопросы. Это отправляет проблему из сознания в подсознание. Вы продолжаете заниматься делом, а подсознание работает.
4. Главное, каждый день фокусироваться. Если возникают новые вопросы - добавлять к списку.
5. Через несколько дней начнут возникать идеи. Потом постепенно вы начнете замечать какие-то решения.
6. Потом вы начнете встречаться с нужными людьми.
7. Не бросайте фокус, записывайте идеи и новые вопросы. Первые идеи придут через 2-5 дней, потом поток будет нарастать. В течении 1-2 месяцев, а может и раньше будет найдено решение, которое позволит сделать шаг.
8. Повторяете итерацию. Шаг за шагом вы решите все проблемы. У кого-то быстрее, у кого-то медленней."
Аргумент против смысла..txt,"Империи могли создаваться на основе любых ложных смыслов, ибо народ идет не за смыслом, а за мифом и героем, за легендой, за обещанием. Невежество есть основа управления – в веках и ныне. Сейчас ничего не изменилось. Если бы было по-иному, то империи не рассыпались бы в прах, ибо их основание было построено не на истине, а на мифе об истине. Именно поэтому, если кто-то говорит, что прав, потому что велик, – это никак не может являться основанием для доверия. Все мы, равно как и народы, – лишь потоки в разных фазах. Говорить о том, что гребень волны будет стоять вечно только потому, что он велик, – это показывать невежество.
Авторитет человеческий, наличие власти, положения, состояния говорит более об эффективности политики и управления отношением масс, об общественном положении, но никак не о правоте."
Почему надо желать большего и что нам мешает ставить амбициозные цели?.txt,"Почему надо желать большего и что нам мешает ставить амбициозные цели? Вопрос, знаете ли, не в жадности, а в здравом смысле. Это можно назвать ветром реальности. Ветер реальности постоянно дует в лицо в виде внутренних сомнений, откладываний, неприятных сюрпризов, бесконечных замедлений и неприятных препятствий. Это означает, что мы всегда пытаемся выполнить меньше задуманного. Именно поэтому нужно ставить достаточно высокие цели.
Вторая важная причина почему надо желать большего в том, что подчас ценность высоких целей не в них самих, а в тех изменениях, которые происходит с нашей личностью, когда мы достигаем этих целей. Высокие амбициозные цели сразу высвечивают по крайней мере два момента

- то, что мы совершенно не представляем, как это делать, и…
- нашу естественную неуверенность и слабость. 

Продление нашего незнания заставляет нас интенсивно учиться. И чем более высокие цели мы ставим, тем больше мы заставляем мыслить себя необычно. Высокие цели достигаются не потому, что мы сильно напрягаемся, а потому, что мы способны двигаться ИНАЧЕ."
В чем разница между лидером и бизнесменом?.txt,"Разница между лидером и бизнесменом в том, что последний ищет куда вложить ресурсы, в то время, как лидер создает смыслы, которые эти ресурсы притягивают. Начинающие предприниматели тратят много времени на поиск инвестиций, в то время, как эффективней вкладывать время в созидание - деньги последуют, ибо деваться им некуда
Популярность инвестиций в крипту объясняется жестоким дефицитом действительно осмысленных проектов
Слабый инвестор ищет выходов, сильный развития."
"На что смотрит Игрок , а на что Персонаж при анализе текста?.txt","Игрок смотрит в текст, обращает внимание на его содержание, связи. Персонаж погружается в сюжет текста и становится его рабом. Игрок смотрит на то - как текст влияет на человека, и исследует текст и сюжет как инструмент, как самурай, который восхищается мечом. Игрок не позволяет сюжету захватить себя, хотя способен отличить сюжет хищник, от сюжета - коровы, которая мирно пасется на лугу.

Каждый раз, если вы ощущаете, что текст меняет ваши эмоции, вызывает реакции, вы сталкиваетесь с текстом-хищником. Не позволяйте себе вовлекаться, это ВСЕГДА ИГРА, это ВСЕГДА управление. Исследуйте триггеры. 
""Причала - нет!"". Я постоянно создаю тексты-хищники, тексты-вирусы. Так я учусь распознавать хищников вокруг, и успешно конкурирую за внимание Персонажей, чего и вам желаю.
Текст это код. … В начале было слово. Смыслов нет, есть только разумные сюжеты, они же Идеи, они же Ангелы, Демоны, короче... вы поняли. Верить в это не надо. Верить вообще не надо. Это запрещено. Допускайте! Наблюдайте, и начнете замечать, а потом видеть.
Мы не видим большей части мира, ибо видим не глазами, а умом, а ум это лишь лабиринт коридоров и закрытых дверей."
"Люди это единственное, на что стоит обращать внимание..txt","1. Наша жизнь – цепь взаимоотношений. Наше положение в обществе – это результат отношений. Ничего не происходит в нашей жизни, ни одного существенного изменения нашего положения, без контакта с каким-либо человеком. Поэтому путь в жизни – это цепь коммуникативных транзакций, а промежуток между ними – осмысление произошедших контактов и подготовка будущих контактов.
2. Поэтому надо правильно акцентироваться в жизни – фокусируйтесь на том, что Вас двигает, а не на том, что является лишь подготовкой. Это и есть принципиальный момент методологии.
3. Мы живем в мире, где есть только люди. И все остальное, что их окружает - ничто. Даже деньги без людей – лишь пачка бумаги. Деньги и все остальное имеет ценность только, потому что люди придают этому ценность, пропорциональную потенциалу порождать новую ценность.
4. Нет людей – нет ценностей, нет финансового благосостояния, нет общественного положения. Поэтому продвижение к успеху в социальном и денежном плане – это всегда продвижение внутри человеческой иерархии, продвижение через цепь контактов.
5. В результате Вы либо увеличиваете свою социальную капитализацию, либо уменьшаете.
6. Все зависит только от того, о чем и как вы общаетесь с людьми.
7. Успех – это признак понимания и реализации этой доктрины.
8. Тот, кто умеет устанавливать контакты с людьми, кто умеет влиять на людей, добиваться от них нужных для него реакций и действий – преуспеет."
